subjects,n3_1,n3_2,n3_3,n3_4,n3_5,n3_6,n3_7,n3_8,n3_9,n3_10,n3_11,n3_12,n6_1,n6_2,n6_3,n6_4,n6_5,n6_6,n6_7,n6_8,n6_9,n6_10,n6_11,n6_12,test3_1,test3_2,test3_3,test3_4,test3_5,test3_6,test3_7,test3_8,test3_9,test3_10,test3_11,test3_12,test6_1,test6_2,test6_3,test6_4,test6_5,test6_6,test6_7,test6_8,test6_9,test6_10,test6_11,test6_12
2d4e8d,0.5,0.3333333333,0.3333333333,0.4166666667,0.5,0.75,0.5,0.5833333333,0.5833333333,0.5,0.8333333333,0.4166666667,0.1666666667,0.5,0.3333333333,0.4444444444,0.2222222222,0.5555555556,0.5555555556,0.4444444444,0.3888888889,0.3333333333,0.4444444444,0.5,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.1388888889,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111,0.2361111111
c5dc00,0.5833333333,0.8333333333,0.8333333333,0.9166666667,1,1,1,1,0.9166666667,1,1,1,0.5555555556,0.7222222222,0.7222222222,0.7777777778,0.8333333333,0.8333333333,0.9444444444,0.9444444444,1,1,0.9444444444,0.9444444444,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111
831d20,0.3333333333,0.3333333333,0.3333333333,0.25,0.4166666667,0.25,0.4166666667,0.3333333333,0.4166666667,0.3333333333,0.4166666667,0.4166666667,0.2777777778,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.2777777778,0.3333333333,0.3333333333,0.2777777778,0.3333333333,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222,0.3472222222
7684f4,0.1666666667,0.3333333333,0.4166666667,0.6666666667,0.5833333333,0.75,0.6666666667,0.4166666667,0.6666666667,0.5,0.8333333333,0.9166666667,0.5555555556,0.3888888889,0.5555555556,0.4444444444,0.5,0.6666666667,0.6666666667,0.6111111111,0.6111111111,0.7222222222,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9e5991,0.25,0.5,0.6666666667,0.5833333333,0.5833333333,0.75,0.9166666667,1,0.9166666667,1,0.9166666667,0.75,0.4444444444,0.6666666667,0.5555555556,0.6111111111,0.6666666667,0.5555555556,0.6111111111,0.8888888889,0.7777777778,0.9444444444,0.7222222222,0.8888888889,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.7777777778,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
d53487,0.4166666667,0.6666666667,0.8333333333,0.9166666667,0.8333333333,0.9166666667,0.9166666667,0.9166666667,0.8333333333,0.9166666667,0.9166666667,1,0.5,0.5555555556,0.6111111111,0.9444444444,0.7777777778,0.6666666667,0.8333333333,0.8888888889,0.7222222222,0.8888888889,0.8888888889,0.8333333333,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111
60775d,0.5833333333,0.4166666667,0.5833333333,0.8333333333,1,0.9166666667,1,0.9166666667,0.9166666667,1,0.9166666667,1,0.3333333333,0.5,0.5555555556,0.5555555556,0.4444444444,0.7222222222,0.7222222222,0.7222222222,0.8888888889,0.7222222222,0.8333333333,0.7222222222,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
da4e7a,0.25,0.5,0.8333333333,0.8333333333,0.8333333333,1,1,1,0.9166666667,1,0.9166666667,1,0.3888888889,0.6111111111,0.5,0.7222222222,0.7777777778,0.7777777778,0.8333333333,0.7777777778,0.7777777778,0.8333333333,0.7222222222,0.8888888889,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
842c40,0.25,0.5833333333,0.5833333333,0.9166666667,0.8333333333,0.75,0.75,0.8333333333,0.6666666667,1,0.8333333333,1,0.3333333333,0.3333333333,0.4444444444,0.3333333333,0.2777777778,0.5555555556,0.3888888889,0.2777777778,0.4444444444,0.4444444444,0.4444444444,0.3888888889,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556
281aeb,0.3333333333,0.4166666667,0.5833333333,0.6666666667,0.8333333333,0.9166666667,1,0.9166666667,0.9166666667,0.9166666667,0.8333333333,1,0.2222222222,0.5555555556,0.6111111111,0.4444444444,0.3888888889,0.6111111111,0.3333333333,0.2222222222,0.6666666667,0.2777777778,0.3333333333,0.3333333333,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
d46f5e,0.4166666667,0.5833333333,0.75,0.5,0.75,0.8333333333,1,0.8333333333,0.9166666667,0.9166666667,1,1,0.3333333333,0.6111111111,0.7777777778,0.8333333333,0.6111111111,0.7777777778,0.8333333333,0.8888888889,0.8888888889,1,0.9444444444,0.7777777778,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556,0.3055555556
9a676d,0.5833333333,0.8333333333,0.8333333333,0.75,0.6666666667,0.5833333333,0.8333333333,0.8333333333,0.8333333333,0.75,0.6666666667,0.6666666667,0.4444444444,0.2222222222,0.4444444444,0.6111111111,0.5,0.5555555556,0.7777777778,0.7222222222,0.7222222222,0.8888888889,0.8333333333,0.8888888889,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111,0.6111111111
ab7542,0.5,0.5833333333,0.6666666667,0.75,0.8333333333,0.75,0.8333333333,0.75,0.75,0.75,0.75,0.75,0.4444444444,0.6111111111,0.7222222222,0.6111111111,0.6111111111,0.6666666667,0.8333333333,0.5555555556,0.7222222222,0.6666666667,0.6111111111,0.7222222222,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889,0.6388888889
d67f91,0.3333333333,0.5833333333,0.1666666667,0.5833333333,0.4166666667,0.5,0.5833333333,0.4166666667,0.4166666667,0.6666666667,0.75,0.5833333333,0.3888888889,0.2777777778,0.3888888889,0.5555555556,0.2222222222,0.4444444444,0.3333333333,0.3888888889,0.3888888889,0.4444444444,0.4444444444,0.3888888889,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778,0.4027777778
6ec360,0.0833333333,0.5,0.8333333333,0.6666666667,0.5,0.5833333333,0.6666666667,0.6666666667,0.8333333333,0.9166666667,0.9166666667,0.9166666667,0.2222222222,0.2777777778,0.3333333333,0.5,0.5,0.5,0.5,0.6666666667,0.8888888889,0.8333333333,0.6111111111,0.8333333333,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.3611111111,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667
3c73 2,0.6666666667,0.6666666667,0.8333333333,0.9166666667,0.75,1,0.75,0.9166666667,0.9166666667,0.9166666667,0.9166666667,1,0.4444444444,0.6111111111,0.7777777778,0.6111111111,0.8333333333,0.9444444444,0.7777777778,0.7222222222,1,0.7222222222,0.7777777778,0.7777777778,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222
eda11e,0.5,0.5,0.8333333333,0.75,0.75,0.8333333333,0.8333333333,0.9166666667,0.9166666667,0.9166666667,1,0.75,0.2777777778,0.3333333333,0.5555555556,0.8333333333,0.5555555556,0.8333333333,0.7222222222,0.8888888889,0.7222222222,0.8888888889,0.8888888889,0.7777777778,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667,0.7916666667
7273f5,0.4166666667,0.5833333333,0.75,0.9166666667,0.9166666667,0.75,0.6666666667,0.6666666667,0.9166666667,0.8333333333,1,1,0.3333333333,0.5555555556,0.6111111111,0.5,0.6111111111,0.5555555556,0.6666666667,0.7222222222,0.7777777778,0.7222222222,0.5555555556,0.6666666667,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667,0.6666666667
c25b1d,0.5,0.8333333333,0.5,0.75,0.8333333333,0.8333333333,0.75,0.75,0.9166666667,0.5833333333,0.5833333333,0.9166666667,0.5555555556,0.5,0.8888888889,0.7222222222,0.6666666667,0.8333333333,0.6111111111,0.5,0.5,0.5555555556,0.7777777778,0.8333333333,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.7222222222,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556,0.4305555556
b7302e,0.5,0.5,0.8333333333,0.8333333333,0.9166666667,1,0.9166666667,0.9166666667,1,1,1,1,0.2777777778,0.5,0.5,0.5,0.5555555556,0.6111111111,0.5555555556,0.7777777778,0.6111111111,0.8888888889,0.8888888889,0.8888888889,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444,0.8194444444
