subjects,learn3_1,learn3_2,learn3_3,learn3_4,learn3_5,learn3_6,learn3_7,learn3_8,learn3_9,learn3_10,learn3_11,learn3_12,learn6_1,learn6_2,learn6_3,learn6_4,learn6_5,learn6_6,learn6_7,learn6_8,learn6_9,learn6_10,learn6_11,learn6_12,test3_1,test3_2,test3_3,test3_4,test3_5,test3_6,test3_7,test3_8,test3_9,test3_10,test3_11,test3_12,test6_1,test6_2,test6_3,test6_4,test6_5,test6_6,test6_7,test6_8,test6_9,test6_10,test6_11,test6_12
3d45e7,0.33333333335000004,0.5,0.6666666667,0.75,0.7916666666500001,0.7083333333,0.9166666667,0.9166666666500001,0.7083333333499999,0.8333333333,0.8333333333499999,0.9166666666500001,0.3611111111,0.41666666665,0.61111111115,0.6111111111,0.5555555556,0.6111111111,0.6388888889,0.5,0.41666666669999997,0.55555555555,0.69444444445,0.4722222222,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778
5623af,0.45833333335000004,0.6666666667,0.8333333333499999,0.875,0.9583333333499999,0.9166666667,1,0.8333333333499999,0.9166666666500001,0.9583333333499999,0.9583333333499999,0.9583333333499999,0.41666666665,0.38888888885,0.5277777778,0.6388888889,0.6111111111,0.52777777775,0.75,0.69444444445,0.69444444445,0.6388888888500001,0.72222222225,0.8333333332999999,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556,0.8055555556
831922,0.625,0.375,0.5,0.7083333333499999,0.7083333333,0.8333333333499999,0.875,0.7916666666500001,0.875,0.875,0.875,0.875,0.5,0.3611111111,0.36111111110000005,0.2222222222,0.30555555555,0.3888888889,0.41666666665,0.3888888889,0.3888888889,0.25,0.3333333333,0.33333333335000004,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444,0.1944444444
2b5be2,0.5833333333499999,0.8333333333,0.9583333333499999,1,0.9583333333499999,0.9166666667,0.9583333333499999,0.9583333333499999,1,0.9583333333499999,0.9583333333499999,0.9583333333499999,0.27777777775,0.41666666664999996,0.61111111115,0.8333333333499999,0.8333333332999999,0.8333333333,0.9166666666500001,0.8888888889,0.94444444445,0.9722222222,0.88888888885,0.94444444445,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333
782772,0.45833333335000004,0.33333333335,0.7083333333499999,0.33333333335,0.5416666666500001,0.5,0.54166666665,0.5833333333499999,0.66666666665,0.5416666667,0.7083333333499999,0.625,0.41666666665,0.33333333335,0.30555555555,0.27777777775,0.5,0.4166666667,0.4166666667,0.44444444445,0.41666666669999997,0.4166666667,0.3888888889,0.36111111115,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.4166666667,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
44958d,0.45833333335000004,0.41666666664999996,0.5,0.5833333333,0.45833333330000003,0.5416666667,0.4166666667,0.5416666666500001,0.625,0.625,0.5,0.5,0.36111111110000005,0.25,0.30555555555,0.3333333333,0.1666666667,0.33333333335000004,0.33333333330000003,0.25,0.3611111111,0.1388888889,0.2777777778,0.3333333333,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667
b4494f,0.5416666667,0.75,0.75,0.8333333333,0.7916666666500001,0.7916666666500001,0.6666666666500001,0.7916666667,0.75,0.875,0.8333333333499999,0.7916666666500001,0.41666666665,0.3611111111,0.5,0.6666666667,0.6111111111,0.3888888889,0.61111111115,0.61111111115,0.69444444445,0.80555555555,0.75,0.8611111111,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333,0.7083333333
d4af05,0.6666666666500001,0.875,0.875,0.9166666666500001,0.9166666667,0.875,0.9583333333499999,0.9166666667,0.875,0.875,0.875,0.9583333333499999,0.30555555555,0.4722222222,0.58333333335,0.69444444445,0.7222222222,0.75,0.7222222222000001,0.72222222225,0.8333333333499999,0.8888888889,0.88888888885,0.7222222222,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8333333333,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111,0.8611111111
150278,0.5416666666500001,0.5,0.625,0.7916666666500001,0.7916666666500001,0.875,0.7916666666500001,0.7916666667,0.8333333333499999,0.8333333333499999,0.8333333333499999,0.875,0.33333333335000004,0.41666666665,0.3611111111,0.44444444445,0.5277777778,0.5555555556,0.6388888889,0.6111111111,0.5833333333,0.72222222225,0.77777777775,0.6666666667,1,1,1,1,1,1,1,1,1,1,1,1,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667,0.5416666667
9dc05c,0.5,0.6666666666500001,0.6666666666500001,0.7916666667,0.8333333333,0.875,0.8333333333499999,0.6666666666500001,0.8333333333,0.75,0.75,0.875,0.41666666665,0.55555555555,0.47222222225,0.6388888889,0.5555555556,0.69444444445,0.6388888889,0.6388888889,0.69444444445,0.72222222225,0.72222222225,0.77777777775,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.8888888889,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778,0.6527777778
0023c4,0.4166666667,0.5,0.6666666666500001,0.9166666667,0.9583333333499999,0.8333333333499999,0.9583333333499999,0.9583333333499999,0.9583333333499999,0.9583333333499999,1,0.9583333333499999,0.25,0.27777777775,0.4722222222,0.4444444444,0.44444444445,0.5,0.47222222225,0.5277777778,0.5277777778,0.5277777778,0.4722222222,0.5,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.9722222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222,0.5972222222
4cb81b,0.5416666667,0.5833333333,0.875,0.875,0.9583333333499999,0.875,1,0.9166666666500001,0.9583333333499999,0.875,0.9583333333499999,1,0.3333333333,0.61111111115,0.69444444445,0.8333333332999999,0.77777777775,0.77777777775,0.75,0.7222222222,0.75,0.8888888889,0.9166666666500001,0.8611111111,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.9166666667,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
26668b,0.29166666664999996,0.375,0.5,0.7083333333499999,0.5833333333499999,0.625,0.70833333335,0.75,0.75,0.7916666666500001,0.8333333333499999,0.75,0.2777777778,0.25,0.38888888885,0.3333333333,0.22222222225,0.3611111111,0.30555555555,0.5277777778,0.25,0.3888888889,0.5277777778,0.3611111111,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.4722222222,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778,0.2777777778
